"MTV Unplugged (India)","TV Shows","https://www.facebook.com/mtvunplugged"
"MTV Splitsvilla","TV Shows","https://www.facebook.com/mtvsplitsvilla"
"Jhalak Dikhhla Jaa","TV Shows","https://www.facebook.com/JhalakDikhhlaJaa.ColorsTv"
"India's Got Talent ","TV Shows","https://www.facebook.com/indiasgottalent"
"Khatron Ke Khiladi","TV Shows","https://www.facebook.com/KhatronKeKhiladi"
"Bigg Boss ","TV Shows","https://www.facebook.com/ColorsTv.BiggBoss"
"My Indian Idol","TV Shows","https://www.facebook.com/myindianidol"
"Sasural Simar Ka - Colors","TV Shows","https://www.facebook.com/Colors.SasuralSimarKa"
"Dance India Dance","TV Shows","https://www.facebook.com/ZeetvDID"
"Colors Tv","TV Channels","https://www.facebook.com/ColorsTV"
"Zoom Tv","TV Channels","https://www.facebook.com/zoomtv"
"MTV India","TV Channels","https://www.facebook.com/mtvindia"
"Sony Entertainment Television","TV Channels","https://www.facebook.com/sonytelevision"
"Channel [v] India","TV Channels","https://www.facebook.com/channelvindia"
"NDTV Goodtimes","TV Channels","https://www.facebook.com/ndtvgoodtimes"
"Star Plus","TV Channels","https://www.facebook.com/Starplus"
"Bindaas","TV Channels","https://www.facebook.com/bindass"
"Zee Cinema","TV Channels","https://www.facebook.com/ZeeCinemaChannel"
"ZEE TV","TV Channels","https://www.facebook.com/ZeeTvIndia"
"SAB TV","TV Channels","https://www.facebook.com/SABTV"
"Sony MAX","TV Channels","https://www.facebook.com/MAXTelevision"
"STAR Gold","TV Channels","https://www.facebook.com/StarGoldIndia"
"Star Sports","TV Channels","https://www.facebook.com/starsportsindia"
"Aaj Tak","TV Channels","https://www.facebook.com/aajtak"
"NDTV ","TV Channels","https://www.facebook.com/ndtv"
"UTV Movies","TV Channels","https://www.facebook.com/UTVmovies"
"IBN7","TV Channels","https://www.facebook.com/ibnkhabar"
"India TV","TV Channels","https://www.facebook.com/indiatvnews"
"Shahrukh Khan ","Celebrity","https://www.facebook.com/IamSRK"
"Salman Khan","Celebrity","https://www.facebook.com/BeingSalmanKhan"
"Aamir Khan","Celebrity","https://www.facebook.com/aamirkhan.com"
"Amitabh Bachchan","Celebrity","https://www.facebook.com/AmitabhBachchan"
"Hrithik Roshan","Celebrity","https://www.facebook.com/hrithikroshan"
"Ranveer Singh","Celebrity","https://www.facebook.com/RanveerSinghOfficial"
"Akshay Kumar","Celebrity","https://www.facebook.com/akshaykumarofficial"
"Ajay Devgan","Celebrity","https://www.facebook.com/AjayDevgn"
"Kapil Sharma","Celebrity","https://www.facebook.com/JhoothiBewaFa"
"Arjun Kapoor","Celebrity","https://www.facebook.com/ArjunKapoorOfficial"
"Varun Dhawan","Celebrity","https://www.facebook.com/VarunDhawan.co"
"Ayushmann Khurana","Celebrity","https://www.facebook.com/ayushmannkhurrana"
"Arjun Rampal","Celebrity","https://www.facebook.com/RampalArjun"
"Sunny Deol","Celebrity","https://www.facebook.com/sunnydeol"
"Anushka Sharma","Celebrity","https://www.facebook.com/AnushkaSharmaOfficial"
"Priyanka Chopra","Celebrity","https://www.facebook.com/priyankachopra?ref=br_tf"
"Sunny Leone","Celebrity","https://www.facebook.com/sunnyleone"
" Nargis Fakhri","Celebrity","https://www.facebook.com/NargisFakhri"
"Madhuri Dixit","Celebrity","https://www.facebook.com/MadhuriDixitNene"
"Sonam Kapoor","Celebrity","https://www.facebook.com/OfficialSonamKapoor"
"Jacqueline Fernandez","Celebrity","https://www.facebook.com/AsliJacquelineFernandez"
"Juhi Chawla","Celebrity","https://www.facebook.com/IamJuhiChawla"
"Huma Qureshi","Celebrity","https://www.facebook.com/huma.qureshi"
"Sonu Nigam","Celebrity","https://www.facebook.com/SonuNigamSpace"
"Sonu Kakkar","Celebrity","https://www.facebook.com/SonuKakkar"
"Arijit Singh Official","Celebrity","https://www.facebook.com/officialarijitsingh"
"Ankit Tiwari","Celebrity","https://www.facebook.com/music.ankit"
"Atif Aslam","Celebrity","https://www.facebook.com/AtifAslamOfficialFanPage"
"Sona Mohapatra","Celebrity","https://www.facebook.com/sonatheartiste"
"Mohit Chauhan","Celebrity","https://www.facebook.com/mohitchauhanofficial"
"Anushka Manchanda","Celebrity","https://www.facebook.com/IAmAnushka"
"Sunidhi Chauhan","Celebrity","https://www.facebook.com/sunidhi.chauhan"
"Yo Yo Honey Singh","Celebrity","https://www.facebook.com/YOYOhoneysingh"
"Raftaar","Celebrity","https://www.facebook.com/YOYOhoneysingh"
"Hardy Sandhu","Celebrity","https://www.facebook.com/sandhuhardyofficial"
"Harbhajan Mann","Celebrity","https://www.facebook.com/harbhajanmann"
"Gurdaas Maan","Celebrity","https://www.facebook.com/GurdasMaan"
"Diljit Dosanjh","Celebrity","https://www.facebook.com/DiljitDosanjh"
"Gippy Grewal","Celebrity","https://www.facebook.com/GippyGrewal"
"Miss Pooja","Celebrity","https://www.facebook.com/misspooja"
"Daler Mehndi","Celebrity","https://www.facebook.com/DalerMehndi"
"A R Rahman","Celebrity","https://www.facebook.com/arrahman"
"Pritam","Celebrity","https://www.facebook.com/Pritam"
"Lata Mangeshkar","Celebrity","https://www.facebook.com/LataMangeshkar"
"Jazzy B","Celebrity","https://www.facebook.com/jazzyb"
"Yatra.com","eCommerce","https://www.facebook.com/Yatra"
"MakeMyTrip.com","eCommerce","https://www.facebook.com/makemytrip"
"Flipkart","eCommerce","https://www.facebook.com/flipkart"
"Snapdeal","eCommerce","https://www.facebook.com/Snapdeal"
"Jabong","eCommerce","https://www.facebook.com/myjabong"
